Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,1.250000,1.253472,1.218750,0.453297,1.218750,1195200
1970-01-05,1.218750,1.222222,1.187500,0.442320,1.189236,964800
1970-01-06,1.189236,1.211806,1.184028,0.450714,1.211806,1036800
1970-01-07,1.211806,1.215278,1.203125,0.448777,1.206597,331200
1970-01-08,1.206597,1.225694,1.206597,0.452006,1.215278,460800
1970-01-09,1.222222,1.239583,1.222222,0.454589,1.222222,748800
1970-01-12,1.222222,1.222222,1.201389,0.446840,1.201389,864000
1970-01-13,1.204861,1.222222,1.204861,0.450714,1.211806,849600
1970-01-14,1.211806,1.232639,1.211806,0.457171,1.229167,619200
1970-01-15,1.229167,1.232639,1.227431,0.457817,1.230903,1209600
1970-01-16,1.230903,1.230903,1.225694,0.457171,1.229167,734400
1970-01-19,1.227431,1.227431,1.211806,0.451360,1.213542,1180800
1970-01-20,1.213542,1.213542,1.192708,0.451360,1.213542,763200
1970-01-21,1.213542,1.218750,1.210069,0.453297,1.218750,878400
1970-01-22,1.218750,1.222222,1.211806,0.454589,1.222222,360000
1970-01-23,1.222222,1.225694,1.213542,0.452006,1.215278,979200
1970-01-26,1.215278,1.215278,1.208333,0.452006,1.215278,979200
1970-01-27,1.210069,1.210069,1.201389,0.446840,1.201389,532800
1970-01-28,1.190972,1.190972,1.135417,0.422303,1.135417,1497600
1970-01-29,1.131944,1.131944,1.072917,0.413262,1.111111,3585600
1970-01-30,1.097222,1.097222,1.076389,0.408097,1.097222,2808000
1970-02-02,1.109375,1.152778,1.109375,0.428760,1.152778,1612800
1970-02-03,1.152778,1.201389,1.145833,0.426177,1.145833,2692800
1970-02-04,1.133681,1.133681,1.081597,0.407451,1.095486,2793600
1970-02-05,1.095486,1.145833,1.092014,0.426177,1.145833,1886400
1970-02-06,1.138889,1.138889,1.125000,0.421011,1.131944,705600
1970-02-09,1.159722,1.190972,1.159722,0.439737,1.182292,1684800
1970-02-10,1.201389,1.215278,1.201389,0.448132,1.204861,2505600
1970-02-11,1.201389,1.201389,1.189236,0.444257,1.194444,2232000
1970-02-12,1.194444,1.194444,1.143229,0.428114,1.151042,3369600
1970-02-13,1.146701,1.146701,1.111111,0.418428,1.125000,1540800
1970-02-16,1.125000,1.130208,1.122396,0.418233,1.122396,820800
1970-02-17,1.122396,1.123264,1.090278,0.410146,1.100694,1915200
1970-02-18,1.104167,1.112847,1.104167,0.413381,1.109375,878400
1970-02-19,1.109375,1.109375,1.098958,0.410470,1.101563,576000
1970-02-20,1.098958,1.098958,1.076389,0.402707,1.080729,1396800
1970-02-24,1.080729,1.085069,1.050347,0.393973,1.057292,3744000
1970-02-25,1.057292,1.097222,1.052083,0.408853,1.097222,2822400
1970-02-26,1.086806,1.086806,1.064236,0.401089,1.076389,1353600
1970-02-27,1.083333,1.111111,1.083333,0.412410,1.106771,1627200
1970-03-02,1.106771,1.123264,1.097222,0.408853,1.097222,1051200
1970-03-03,1.097222,1.098958,1.079861,0.409499,1.098958,1468800
1970-03-04,1.098958,1.118056,1.098958,0.413381,1.109375,734400
1970-03-05,1.109375,1.112847,1.104167,0.412734,1.107639,892800
1970-03-06,1.107639,1.107639,1.088542,0.406912,1.092014,907200
1970-03-09,1.088542,1.088542,1.079861,0.404324,1.085069,273600
1970-03-10,1.079861,1.079861,1.066840,0.401089,1.076389,1353600
1970-03-11,1.076389,1.090278,1.072917,0.404324,1.085069,432000
1970-03-12,1.085938,1.093750,1.085938,0.405618,1.088542,388800
1970-03-13,1.083333,1.083333,1.076389,0.401089,1.076389,1339200
1970-03-16,1.076389,1.076389,1.057292,0.394620,1.059028,806400
1970-03-17,1.059028,1.062500,1.053819,0.392680,1.053819,1267200
1970-03-18,1.055556,1.064236,1.055556,0.396561,1.064236,748800
1970-03-19,1.067708,1.072917,1.067708,0.397855,1.067708,1123200
1970-03-20,1.067708,1.067708,1.060764,0.397855,1.067708,518400
1970-03-23,1.065972,1.065972,1.055556,0.394620,1.059028,216000
1970-03-24,1.058160,1.058160,1.041667,0.392356,1.052951,1670400
1970-03-25,1.062500,1.100694,1.062500,0.404971,1.086806,2275200
1970-03-26,1.086806,1.093750,1.083333,0.404971,1.086806,936000
1970-03-30,1.086806,1.092014,1.079861,0.403031,1.081597,1368000
1970-03-31,1.076389,1.076389,1.065972,0.399796,1.072917,676800
1970-04-01,1.069444,1.069444,1.062500,0.396884,1.065104,820800
1970-04-02,1.059028,1.059028,1.045139,0.390415,1.047743,792000
1970-04-03,1.047743,1.053819,1.047743,0.392033,1.052083,1008000
1970-04-06,1.052083,1.057292,1.022569,0.381682,1.024306,2275200
1970-04-07,1.022569,1.022569,0.993056,0.370685,0.994792,1526400
1970-04-08,0.994792,0.996528,0.987847,0.370037,0.993056,734400
1970-04-09,0.993056,1.017361,0.993056,0.378448,1.015625,820800
1970-04-10,1.015625,1.031250,1.011285,0.377800,1.013889,3312000
1970-04-13,1.013889,1.013889,1.000000,0.375213,1.006944,878400
1970-04-14,1.006944,1.024306,0.993056,0.381035,1.022569,835200
1970-04-15,1.022569,1.039931,1.020833,0.382976,1.027778,2217600
1970-04-16,1.027778,1.027778,1.015625,0.378771,1.016493,1252800
1970-04-17,1.016493,1.017361,1.013889,0.378448,1.015625,950400
1970-04-20,1.015625,1.017361,1.008681,0.377800,1.013889,1425600
1970-04-21,1.013889,1.020833,1.006944,0.375536,1.007813,518400
